Name,Current Company/Employer,Past Companies,Description,Key Areas of Interest/Expertise,In what capacity do you want to help out?,Advisor Location.,Berkeley SkyDeck or Milano,id
Maurizio Liverani,Angel Investor,30secondstofly,Started two companies in Silicon Valley - today Angel Investor - M.Sc and Ph.D. EE Stanford - MBA Harvard Business School - ,Angel investing,Advisor,Europe,"SkyDeck Europe, Milano",recK4363ZpTayNjuM
Charles R Thurber Jr.,"Retired currently, looking for part-time work and mentoring capability","Maxim Integrated Products (now ADI) 1987-2015, full time 1987-2005, part-time 2005-2015), Intersil (1980-1987)","I graduated from Cal in 1980. I worked at Intersil from 1980 to 1987. I went to Maxim in 1987. I became a Design Director, then a Managing Director of R&D by 1995. I helped established the Maxim culture through training and running all Design services organizations. I have always been a excellent mentor to engineers and others. I loved the Design process and insisted it run without errors and as fast as possible. I was also the QA person in the Design organization.  I set and maintained most processes and procedures. I am a intensely curious person who loves to learn about DFM systems, young engineers and their passions. I am 65 years old but yearn for engineering student interaction.","Design for Manufacturing (DFM), Mentoring College Students, Company Cultures, ",Advisor,USA/Canada,Berkeley Skydeck,recK4Xn1CHGAfpOUY
Shikha Kapoor,Meta,Google,"I am an AI Product Leader, innovator, and former entrepreneur - currently responsible for strategy and vision of some of the most innovative and impactful investments for the AI discovery engine at Meta, personalizing content recommendations for billions of users on Instagram and Facebook everyday. Prior to this, I led teams to launch several industry leading products for Google's AI assistant, helping millions of users around the world be more productive and organized. I have been honored with several accolades, including being featured among top female trailblazers in AI at Google I/O. Over the course of my career I have led teams to build innovative category defining products in AI, productivity, media and ecommerce. I have an MBA from University of Chicago, Booth School of Business, and a Bachelors and Masters in Computer Science from IIT Delhi. I am a seasoned speaker, and passionate about supporting innovation and entrepreneurship.","AI, Media, Ecommerce, Productivity, Product management, Business Strategy, Go to Market, ",Advisor,USA/Canada,Berkeley Skydeck,recK7NvRNJTbFwEhd
Sho Guo,MINTX,"NBC Olympics, Caesars Entertainment, ObEN (Softbank and Tencent backed AI startup), BookClub (venture-backed startup), MINTX (venture-backed startup)","Marketing professional with 15 years of experiences working for both Fortune 500 brands and tech startups, with expertise in branding and positioning, social and digital marketing, PR and communications, product marketing, community building, experiential events, and go-to-market strategy across global markets. For the past 8 years, I have been in the startup space, helping extraordinary entrepreneurs build their startup from idea to product launch, establish product market fit, build go-to-market strategies, and scale teams to support growth. ",Marketing,Advisor,USA/Canada,Berkeley Skydeck,recKBeLYZCmYGLpui
Guanghui Hu,"Multiple (NAKI Therapeutics, Viva BioInnovator, Ribogenics, EarlyDx)","GSK, Merck, Admera Health, etc.","As a winner of EY Entrepreneur of The Year, Dr. Guanghui Hu is a visionary leader with extensive experience and deep knowledge in entrepreneurship, venture investment, and business management.  Dr. Hu has built one of the most innovative and fastest-growing healthcare companies in America, as recognized by both Inc 5000 and Financial Times, and acquired over a decade’s worth of experience in drug discovery and development at Roche, GlaxoSmithKline, and Merck. Dr. Hu completed his postdoctoral research at the University of California at Los Angeles after earning his PhD from Baylor College of Medicine.","venture investment, entrepreneurship, board governance, business management, biotech and healthcare.",Advisor,USA/Canada,Berkeley Skydeck,recKI7nBg0rGhSFtE
Nate Mason,Starburst Aerospace,U.S. Air Force; Booz Allen Hamilton; AWS,"Living authenticity makes me feel alive. It helped me find happiness, freed me to focus on the present, and taught me to be a better leader. I am grateful that I learned to live in my truths, but I can remember a time when it was not so easy.     I grew up in a conservative Christian family. We attended church every Sunday and Wednesday. Faith in a higher being was omnipresent during my adolescent years and influenced the way I valued myself. The lessons I learned continue to influence who I am today, but there came a day when I approached a crossroad between my faith and the person I knew I was.   I am gay.   I grew up believing homosexuality was an unforgivable sin. I felt devalued and shameful. I searched for biblical teachings to affirm my existence but that only weakened my faith. I wondered if God loved me and if my parents would be proud of me if I came out. I lived in a constant state of self-examination that permeated every waking hour.   I joined the Air Force, in part, to escape the world I knew to allow myself to explore my faith. I met people who permitted me to challenge my beliefs. I re-examined the obstacles between faith and identity and found that the two can exist concurrently.    Living authentically enables me to allot all of my energy toward professional and personal goals without the burden pretending to be someone else. More than that, living authentically developed me into a better leader. I know that by allowing those I lead to be their true selves, we all perform at our bests.     Living authentically makes me feel alive because it freed me to live at my full potential. ",Venture Capital; RF Engineering; Deep-Tech Ecosystem; Leadership; National Security; Cyber Hacking ,Advisor,USA/Canada,Berkeley Skydeck,recKKmeg2z3hft8X0
Katherine Zhang,Upfront Ventures,"Federal Reserve Bank of New York, BCG",ex-financial regulator (led Fed's stress test for portfolio's largest banks) turned venture capitalist,"fintech, proptech, women's health, children's health",Advisor,USA/Canada,Berkeley Skydeck,recKNwyveHhFg4YgR
Ross Weiner,CODE Advisors,Qatalyst Partners and Silver Lake,"I have more than 20 years of legal, operational and compliance experience at financial institutions including at Qatalyst, Silver Lake, and Credit Suisse.  I also am on the Board of Trustee of Glide and am on the advisory board of a few small start ups and smaller venture funds.","Legal, compliance, operations, networking",Advisor,USA/Canada,Berkeley Skydeck,recKaAkDtIs3yx59q
Sravan Jaggumantri,Neurogene,"Sangamo Therapeutics, PRA Health Sciences","I have over 15 yrs of experience in drug development. Extensive knowledge and experience in indication selection, platform technology evaluation, clinical development and regulatory strategy with demonstrated accomplishments in the biotech and pharma industry. ",Translational Development/Rare Disease/Cell & Gene Therapy/Regulatory Strategy/Entrepreneurship,Advisor,USA/Canada,Berkeley Skydeck,recKcpe9w8AYrVMx9
Yuliana Candra,CEO/GP/Head of Product @ EightQube Ventures,"Google, Meta, Accenture","Product & Venture executive, 25+ years Silicon Valley veteran with 100+ products across 50+ brands. Member of Accenture, Google, and Cisco Innovation Think Tanks. Award-winning designer, executive producer, serial entrepreneur, investor, former advisor at Thiel Foundation.","AI, digital health, media & entertainment, luxury products, manufacturing, ideation & innovation, GTM strategy, fundraising strategy.",Advisor,USA/Canada,Berkeley Skydeck,recKh7GCjnTQKheBg
Sukanta Ganguly Ph.D,ClickIPO ,"Novell Inc, Iomega Inc, LignUP","I am entrepreneur with a very strong experience in building very strong and good products that create impact. I have built a lot of expertise in Security and Financial Technology (very strong in Capital Markets and trading tech). I have also over the last few years built a lot of knowledge in Blockchain protocols, various protocols and types of consensus and distributed environments. Very excited about Zero Knowledge proofs, succinctness and aspects of vertical centric distributed platforms.   I sit on the board of startups and have angel invested in a few startups as well as a small Venture firm. Quite selective in the ones that invest. No cold emails please, only via my existing contacts or somebody I have worked with in the past.   Experiences: Distributed Systems, Zero Knowledge proofs, Convergence of communication channels (voice, video and data), Networking, Quality of service, Adhoc Networks, Large Distributed Systems, Storage Networking, Network Security, VOIP, IM, Web Services and Cloud Technologies.","Distributed Systems, Decentralized Systems, Zero Knowledge Systems, Financial Technologies",Advisor,USA/Canada,Berkeley Skydeck,recKiEShL0gtPMFua
Ashu Goel,WinWire,Microsoft & A.T. Kearney,"Ashu Goel is the founder and CEO of WinWire Technologies. Ashu has a strong technology management and consulting background, with a blend of more than 30 years of experience working at leading organizations like A.T. Kearney and Microsoft. Ashu founded WinWire in 2007 to help customers gain competitive advantage through innovative software solutions.  Ashu is passionate about exploring the impact of technology to assist social causes (#socialtech) as well as the need for empathy due to the impact of increasing advances in technology (#empathytech).  Prior to WinWire, Ashu was at Microsoft helping lead the Microsoft Consulting Services as well as Microsoft Technology Centers around the globe. Ashu also served in a leadership position at A.T. Kearney. He is a Haas MBA graduate from Berkeley and has a BS from IIT Roorkee.","Purpose Driven Leadership, entrepreneurship, IT industry, mentorship",Mentor,USA/Canada,Berkeley Skydeck,recKpQDAgZiCQgaNM
Daisuke Makino,Self-employed @ Market Entry Consulting,"Honda Innovations, Naminori, Marubeni America Corporation","I am a freelance consultant helping Japanese startups expand to the US. Currently supporting a Japanese nano-tech startup on US expansion and fundraising. Previously supported Honda in validating their new deep-tech eVTOL business in the US market. Previously founded and bootstrapped Naminori, a startup offering emerging US trends research data to VCs and entrepreneurs in Japan. Bilingual in Japanese and English. ","My specific focus areas are customer development for deep-tech and US GTM. However, I can mentor or support with sales & marketing, customer interviews, strategy development, and any other areas that are necessary for zero-to-one.",Mentor,USA/Canada,"SkyDeck, Japan",recKufMleSBJqcri8
James Robinson,Berkeley Center for Health Technology,"Leonard D. Schaeffer Professor of Health Economics, Editor in Chief","I am the Leonard D. Schaeffer Professor of Health Economics and Director of the Berkeley Center for HealthTechnology (BCHT) at the University of California at Berkeley. I serve on a variety of professional advisory boards and gives numerous invited speeches for pharmaceutical and technology firms, health insurance plans, hospitals, physician organizations, universities, and public agencies.   At Berkeley, my research focuses on the biotechnology, medical device, insurance, and health care delivery sectors. I have published three books and 150 papers in peer-reviewed journals such as the New England Journal of Medicine, JAMA, and Health Affairs. I teach classes on biomedical innovation policy, health economics, and the economics of innovation inthe undergraduate, masters, and online masters programs at Berkeley.","Biomedical innovation, economics, pricing, insurance design, FDA regulation, physician payment",,Europe,"SkyDeck Europe, Milano",recL772gKNq9HNjYr
Benjamin Allen,Verizon Wireless,"PlaceIQ, Intelligent Artifacts, Retailigence, K2 Digital, Zoombak, LTU Technologies, Viacom","Broad mix of both job functions and companies worked for including both large corporates like Viacom and Verizon, but also with startups in AI and mobile  and location services.  Currently in product Innovation at Verizon. ","wireless and mobility, deep tech, AI, location services",Mentor,USA/Canada,Berkeley Skydeck,recLCClM2k7clKs7D
Matt Caspari,Strawberry Creek Ventures / Alumni Ventures,"Nike, Phon.io, Aurora Biofuels, IMS Health, Bloomberg","Matt is a two-time venture-backed founder/CEO with a decade of startup operating experience.  Before joining Strawberry Creek Ventures, he was an Investing Partner at Spike Ventures, where he participated in over twenty investments.  He’s an active angel investor and leads an AngelList syndicate with over 1,000 backers.  Prior to joining Alumni Ventures, Matt was a leader of the innovation team at Nike where he oversaw a portfolio of projects and led global cross-functional teams.  While at UC Berkeley, Matt founded Aurora Biofuels, which grew to over 100 employees and raised more than $100m in capital before being acquired by Reliance Industries.  He’s a longtime Judge / Mentor at LAUNCH: The University of California’s Startup Accelerator and a Mentor at Berkeley-Haas Entrepreneurship.  Matt holds an MBA with a Certificate in Entrepreneurship from UC Berkeley’s Haas School of Business and a BS in Biochemistry from Georgetown University.","Sustainability, climate, deep tech, consumer",Advisor,,Berkeley Skydeck,recLEM8V1zxp6dhV2
Hemanth Srinivasan,NA (On a short sabbatical),"Plume Design Inc., Autodesk Inc., Riverbed Technology, Microsoft Corp, Nokia Corp, Huawei Technologies","I am an empathetic result driven leader with over 18 years of progressive experience in Cyber Security, Privacy, Enterprise IT & Software Development Life Cycle (SDLC) and I have a masters degree in Computer Science. Most recently I was a CISO and head of security, privacy & IT. I am also one of the top 50 CISOs to watch for in 2023, as published by Lacework, an industry leading security technology company.","Primary areas of expertise and interest are in Cyber security, privacy & IT strategy, leadership and operations. Other interests include EduTech, HealthTech and AI applications.",Advisor,USA/Canada,Berkeley Skydeck,recLLz4ULlYFrdXvv
Debasis Bera,Samsung,"My own startup, couple of startups, Philips, Samsung","PhD in Materials Science (2005); worked on materials, devices, sensor, display; current focus in Samsung as tech strategy; deeply looking into opportunities for Samsung in regards to next gen technology for semiconductor areas (processor, memory, storage system, AI/neural processor/co-processor, HPC, datacenter & cloud) and consumer electronics (AR&VR, automotive). Working closely with startup communities, universities, national labs and large corporate for collaboration at the R&D level; Internally I am involved in R&D strategy (roadmapping, pathfinding, partnerships with external entities) and tech intelligence (finding white space, internal project strategy etc).","Materials (displays, electronic and optical), devices (sensors, processors etc), semiconductor devices (memory, storage, AI/NPU) and HPC",Mentor,USA/Canada,Berkeley Skydeck,recLMYNyxbiNlwHeb
David Charron,UC Berkeley,"Technology Ventures Corporation, Xerox PARC, Scientific Learning, MIT, Stanford","professional faculty at Haas, Lead Faculty for NSF and NIH I-Corps programs",Deep Tech,Advisor,USA/Canada,Berkeley Skydeck,recLQnipaxf7qXOOO
Marco Vidal,Nimble,"Agille, Case, Altran","Managing Partner @Nimble. Skilled in AI, Data Analytics, Innovation and Digital Transformation. Also:  4x Founder; 2x Exit; AI Lecturer; Angel & VC investor; Skydeck LP.",Life Sciences; Fintech; Quantum; Deep Tech; Telco; Logistics; Energy; Banking & Insurance ///  AI; Data & Analytics; I9,Advisor,Europe,"SkyDeck Europe, Milano",recLRt7tvxk57rfjQ
Ronen Lebi,Stratasys ,"Waze, IBM, Consulting firms and board member/observer with several startups","I'm an Industrial tech leader most passionate about initiating and leading ventures, based on complex, multidisciplinary deep tech solutions. All coming from working in different tech oriented environments and industries, from Startups (Sold to Google for $1B) to Consulting (Established my own firm) and then to Large corporations (Global leader in Additive Manufacturing, Market Cap of $1B+).   Most recently, I formed and led a new Additive Manufacturing business unit, based out of San Francisco. Our products are deployed across the globe at the world’s leading OEMs, unlocking production of the most demanding applications and becoming market leader in our segment.   Bringing my diverse cultural background to the table (Born in the US, lived in the US, UK, Belgium, Netherlands and Israel) and having led more than a dozen of growth based ventures in value exceeding $300m, I enjoy exploring new businesses across the globe and simply making things happen.","Deep Tech, Robotics, AI, Additive Manufacturing, Clean Tech and Ag-Tech",Advisor,USA/Canada,Berkeley Skydeck,recLYaAseCPZKnpmg
Rachna Dayal,Self : Investor + ecaplabs,"Philips, Handshake Solutions, Johnson & Johnson, Global Health Impact Fund",Healthcare Investor interested in HealthTech Platforms and Medical devices,"Healthcare & HealthTech, Go to Market Strategy, Supply Chain Customer Experience",Mentor,USA/Canada,Berkeley Skydeck,recLZx9ia9F8S80fb
Nirav Sheth,Google Cloud,Cisco Systems (Global Partner Organization),"I have an extensive background working across product, sales, and delivery roles in my 20+ years between Google and Cisco. Currently, I work closely with startups as they partner with Google Cloud to grow their business. (I am not a Cal alumni, but I had to check the ""Are you a Cal Alumni?"" box in order to be able to submit this form.)","cloud, product, delivery, sales, partner sales, ISV, B2B, customer satisfaction",Mentor,,Berkeley Skydeck,recLbeWnQa3VBOMFz
Pancrazio Auteri,Currently in a sabbatical,"TiVo, Vendini/AudienceView, Fing, ContentWise","Telecommunications engineer from the 90s, when Internet came out from universities. First startup in 1996, four exits. One of them brought me to California in 2012 where I discovered product management. ","Product-Market fit discovery, go to market, UX design for SaaS and hardware products.",Advisor,USA/Canada,"SkyDeck Europe, Milano",recLbmZn8m4g3M2D1
Revital Padovitz,Self employed as a product consultant and angel investor ,"BCG, Microsoft, Meta, Spotnana","I'm a product executive and led product teams in Meta and in startups. I launched products in both B2B and B2C domains and established product strategies in a variety of settings and domains (social, productivity, travel, finance, safety, AI, media etc).",Product management and strategy,Advisor,USA/Canada,Berkeley Skydeck,recLdBO8UJgtJUI6g
Andy Scott,"ARS Edge, LLC","Garage Technology Ventures, Pluritas, RPX Corp. ","I have been at the ground floor of 4 startups, including one that went public. I have been mentoring entrepreneurs and students for about 15 years, and now am a certified executive coach. ","coaching, startup operations, mental fitness, sustainability/climate tech, effective teams",Mentor,USA/Canada,Berkeley Skydeck,recLg3LIAsK384qaS
Steve Lee,Kiva Capital Partners,"Morgan Stanley, Deloitte Consulting, Slalom","Steve is currently the CEO & Founder of Kiva Capital Partners, a fund focused on acquiring vertical SaaS, B2B services, and healthcare services between $10M-$100M in enterprise value. Prior to Kiva, Steve served as an investment banker at Morgan Stanley with a focus in Industrial Technology and Financial Sponsors. Steve also has 7+ years as a management consultant advising clients in M&A, growth strategies, and organizational transformations, and AI/RPA tech modernization across Tech, Healthcare, B2B Services, Consumers, and Industrial sectors. Steve has advised many top-tier organizations including Amex, Genentech, Pfizer, BofA, Prudential, Salesforce, Sterling, Cornerstone on Demand. Lastly, Steve has founded, operated and/or advised several companies within EdTech, Real Estate, DTC fashion, and B2B audio services."," Finance, Strategy, Human Capital & Operational Improvement. Deep experience in M&A, IPOs, growth strategies, organizational transformation & tech modernization (AI/RPA) across Tech, Healthcare, Industrial, and B2B services. ",Advisor,USA/Canada,Berkeley Skydeck,recLjPKh2RllMQj0X
Natesh Babu Arunachalam,Mastercard,"JPMorgan Chase, Swiggy, Oracle, a crypto startup in India","I have been at the intersection of AI/ML and FinTech for the vast majority of my career. I am currently a data science leader at Mastercard. I am currently working on products that improve the financial lives of millions of people. Previously, I was a quant at JPMorgan Chase building the core fraud and underwriting models used by Chase for it's millions of consumers. I am a builder at heart and am most excited by taking products from 0 to 1. I enjoy the uncertainty that comes with building and scaling a new product.  ","FinTech, AI/ML",Advisor,USA/Canada,Berkeley Skydeck,recLkRnSnZ7SBX6BS
Shilpa Prasad,LG Electronics (LG NOVA) ,"YouNoodle Inc., LongPlay Inc ","Shilpa Prasad is an experienced leader in the startup ecosystem with a strong passion for entrepreneurship & corporate startup engagement/innovation. She brings over 15+ years of experience & expertise to help identify market trends, building partnerships & new business creation.   She has been instrumental in driving innovation for various open innovation projects across corporations, governments & accelerators & establishing new partnerships across the global startup ecosystem. As a founder herself she has also contributed her time mentoring and advising startups.   With a keen interest for creating real value within corporate startup ecosystems & enthusiasm for new innovations, she brings her global experience in corporate-startup strategy & Venture Building to LG NOVA.","Product Market Fit, Design Thinking Principles for new product development, Customer Personas, GTM  & Revenue Model Generation",Advisor,USA/Canada,Berkeley Skydeck,recLtTH1iz9CtGJdV
Mandy Wen,GSR Ventures,DeepMap; Flexiv Robotics; Shadowbot RPA,"I was initially a Product Manager at Baidu in 2012, after graduated from a MA program at Stanford in 2015, I joined investment team at GSR Ventures. I'm currently a partner that focuses on AI application in enterprise and manufacturing sector.","AI application in enterprise saas and manufacturing(iot, robots, etc.).",Mentor,USA/Canada,Berkeley Skydeck,recLykYvODKG19alZ
Arrigo Bodda,42N Advisors,"Unilever, United Technologies, Alcoa, Enel","Arrigo Bodda is a HR professional with  30 years of experience in several industries (FMCG, Industrial, Electronics, Software) and countries, in America and Europe. Now, he is an accredited investor and a consultant at 42N Advisors.","HR and Organizational Development, Mentorship, Business and Corporate Development",Advisor,USA/Canada,"SkyDeck Europe, Milano",recLzNEWL2tDt24Vt
Timothy Li,"HireIO, Inc.","US Bank, LeighFisher management consulting, Data Application Lab, Global Career Path","I graduated from Cal in 2014. I have 6 years experience B2B in fintech, then 7 years experience in talent acquisition consulting service side. Now the company I found, HireIO inc, has over 10M revenue, the company provides recruitment, temporary workforce solutions, HR managed services, and outsourcing. ","Talent Acquisition, Startup scaleup, human resource solutions",Advisor,USA/Canada,Berkeley Skydeck,recM7dfp0cdUjBQBp
Alessia Morichi,Rita Health,"kegg (San Francisco), Google (EMEA and Italy), Tech Will Save Us, Twister Communications Group, TOD'S","I am a startup founder based in San Francisco with 10+ years of international experience in brand & product marketing at agencies, startups and Google. After leading the launch of an FDA-registered class I medical device for fertility in 2020, in 2021 I co-founded Rita Health (wearerita.com), an early stage company backed by top notch Silicon Valley angels (like Ray Kurzweil, Oculus Co-Founder Michael Antonov and Google VP Marvin Chow), Notion VC and SALT fund from NY. I am currently CMO/COO sitting at the intersection between  AI, healthcare and product innovation and working on a digital assessment to predict the ability of a woman to conceive naturally, based on the analysis of 102 factors. Product launch is planned before the end of the year. I have a huge passion for bringing high-value connections between brands and customers to life, passing through product marketing. I am a resilient problem solver with a reputation for designing insight-driven campaigns, from strategy to implementation & for scaling brands. Great eye for creativity combined with an analytical mind and a deep knowledge of all growth channels & metrics. ","Marketing, Go-To-Market, Product, Brand, Growth, Fundraising",Advisor,USA/Canada,"SkyDeck Europe, Milano",recMAXe5519KLWWgH
Lane Weaver,Novome Biotechnologies,"Genentech, L.E.K. Consulting","Experienced biotech professional with big and small company experience across multiple functions (BD, commercial, clinical, science, finance/fundraising) and stages (seed, Series A, B, commercial).  Executed $600M collab w/GNE, and led commercial diligence on $1.4B M&A at Roche.  Exposure to all healthcare sectors as management consultant (Tx, Dx, Tools, payers & providers). PhD Synthetic Biologist from Cal by training.  ",Biotech,Mentor,USA/Canada,Berkeley Skydeck,recMC1wUXcOz2yh9Z
Zeynep Ilgaz,Breakaway Partners,Confirm Biosciences,"Zeynep Ilgaz- Biotech Founder, Investor Zeynep Ilgaz is an immigrant from Turkey and has been living in San Diego for over 20 years. In 2008, she founded Confirm Biosciences, a national provider of diagnostic products for human and wellness testing, which, under her leadership, was placed on the Inc 5000 Fastest Growing Companies list and the SDBJ Fastest Growing Companies list for having an annual growth rate of over 800% for 3 years running. Recently, Confirm Biosciences was acquired by CRL (Clinical Reference Laboratory).  Ilgaz is a firm believer in giving back to the community. She started the philanthropic arm of Confirm Biosciences, called “We Care, People over Profit,” which organizes donations to the community using a percentage of sales generated.  Aside from Confirm, she has worked as a board of director for Interfaith Community Services and served on the NIH Commercialization Assistance Program. She was also a contributor to outlets such as Entrepreneur Magazine, Forbes, and the Huffington Post where she discussed topics ranging from growth and leadership to volunteerism.  Ilgaz received her MBA from San Diego State University in 2000 and earned her bachelor’s degree in Economics from Bosporus University, Turkey. She and her husband recently established the Ilgaz- Pala Family Aztec Cooperative Fund Endowment - to support aspiring student entrepreneurs in their journey. On the personal side, she has been married to the love of her life for 24 years; they have 2 boys and 4 dogs.   Awards and Recognition: 2018 INC Best Places to Work For 2017 Best and Brightest Company to Work For- San Diego 2016 INC 5000 Fastest Growing Company 2016 SDBJ Best Places to Work For #1 2015 SDBJ Most Admired CEO of the Year 2015 SDBJ Women Who Mean Business Award 2015 San Diego Chamber, Outstanding Emerging Business of the Year Award 2015 E&Y, Entrepreneur of the Year Finalist, San Diego 2015 INC 5000 Fastest Growing Company #12 2015 SDBJ Best Places to Work For #3 2014 SDBJ Best Places to Work For #12 2014 INC 5000 Fastest Growing Company 2013 INC 5000 Fastest Growing Company 2012 SDDT -Top Influencer in San Diego 2009 SDSU- Lamden Rising Star Award Honoree 2008 National Institute of Health (NIH) Commercialization Adviser 2008 SD Metropolitan- 40 under 40 in San Diego Recipient  Community and Board Roles: Rancho Bernardo Community Council, Council Member San Diego Chamber of Commerce, Board Member National Association of Women Business Owners (NAWBO)- San Diego Chapter, Board Member Kids4Community, Board Member SDSU Lavin Center, Advisory Board Member SDSU Mission Valley Innovation District, Advisory Board Member Interfaith Community Services, Board Member (2017-2020) San Diego State University, Guest Lecturer","medical device, diagnostics health and wellness, distribution, supply chain, retail",Advisor,USA/Canada,Berkeley Skydeck,recMCDXgETKHRUNwz
Vanessa Cordero,Amazon Web Services,"Salesforce, PwC","Lead Partner Investments, GTM Scalable Partner Programs, and Partner Cloud Migrations for AWS. I also have experience in business consulting, internal/financial/technology audits ","Tech, SaaS, Partnerships, GTM, Strategy",Mentor,USA/Canada,Berkeley Skydeck,recMEMKPFnKaZItvN
Lorenzo Berti,"Pleno, Inc.","Element Biosciences, Illumina, UC Davis","My background is in Chemistry and Materials Sciences, with emphasis on applications of importance in biology. I have extensive research and academic background and eventually moved to industry, working for both a large corporation and early stage start ups. I am and experienced leader and manager. I have participated to several product launches and have been part of building organizations and processes. I am very adept at navigating complex situations, either technical, logistical or business ","Biotech, Diagnostic tools, molecular devices, biosensors, leadership, team and company building, fundraising, troubleshooting, managing, planning",Advisor,USA/Canada,Berkeley Skydeck,recMK21MMH8PGltek
Himanshu Bari,Arkose Labs,"Symantec, Hortonworks, LexisNexis risk solutions","Product management leader with a firm belief in the 'Generalist PM' mindset. Over last two decades, I have played every role in product & engineering -  from being in the trenches to building and running large product orgs. Rather than having one rinse-repeat playbook, I enjoy being able to draw upon diverse experiences and fresh thinking that questions the status quo. Hence, I have challenged myself by entering a new market every few years.   Looking back, I started with a deep understanding of the core tech stack and dynamics of the ETL, real-time streaming analytics, application monitoring & data loss prevention products. I then went on to apply that understanding to digital fraud/identity & bot detection markets. Being able to compare and contrast across products & markets has been a very rewarding experience and allowed me to really sharpen my frameworks along the strategy, execution and sales pillars that underpin the product management art.  Before finding my calling in product management, I started as a distributed systems java engineer. Along the way, I also spent a couple of (very enriching) years doing UX design engineering - an invaluable experience that is still paying dividends","Data management & analytics , digital identity verification, bot detection, trust & safety, data loss prevention ",Advisor,USA/Canada,Berkeley Skydeck,recMOxbgogY34zA1T
Sanej Bandgar,BCG,"Deloitte, Capgemini and OpenText Technologies","Computer Scientist by training and hold a Berkeley MBA. Built digital transformation strategies and digital products across Energy, Insurance, Public Sector and Financial Institutions","GTM, Product Market Fit, Product & Engineering and AI ",Advisor,USA/Canada,Berkeley Skydeck,recMlGunhPMZeXLgX
Coley O'Brien,44 Venture Opportunities,"Morgan Stanley, Deutsche Bank, Eurohypo, MKP Capital, 44 Capital. ","Institutional investment management experience across US real estate markets; lending (≈$3.5b+), structured credit portfolio management (≈$1.0b+), large-scale multifamily development, and early-stage digital asset / web3 venture equity investment + associated advisory roles (30+ investments).",Please see linkedin profile for a general overview. Venture equity / Blockchain + Real Estate / Emerging Proptech.,Advisor,USA/Canada,Berkeley Skydeck,recMmuqAWvWIgdf2P
Natasha Margot Blum,Blumline,"Notion, Teladoc, Livongo, Baxter, HP, Lincoln Motor Company, Singapore Airlines, Samsung, Volkswagen, Audiemind, Postmates, Facebook, ","Head of an innovation studio that practices and teaches rigorous mixed methods research, design strategy, and design for products and services that are digital, physical, and environmental. We focus on product-market fit, de-risking ventures, and teaching young teams the value of research to drive their strategic design efforts — ensuring they are not seeking a problem to fit a technology solution into, and learning how to effectively empathize and design value for customers and succeed. I advised two companies many years at Skydeck, and just noticing you have a Milano office. I live in Berkeley - applying to help the local economy, but am also interested to hear about Milano - I speak Italian and happy to explore one or both.","Healthcare + Medical Devices, Autonomous Mobility, SaaS, Behavior Change, Ethnography + Cultural Anthropology",Advisor,USA/Canada,Berkeley Skydeck,recMpOqjF6SaRFTII
Ulf Baumann,"Varian Medical Systems, a Siemens Healthineers company","Cisco Systems, Hewlett Packard Enterprise, Verizon, Patientkeeper, OSII France SA","Tech executive, startup entrepreneur, consultant, advisor, windsurfer","Business strategy, techology strategy, product dev, GTM",Advisor,USA/Canada,Berkeley Skydeck,recMqolhF3LZSh0Xb
Bipin Agravat ,Willager ,"Skyroot, Sellogs, ",Engineer and Entrepreneur for past 20 years. 8 + years of expertise as investors across south and North America and Asis.,Product & Business development and Investment ,Mentor,Asia,Berkeley Skydeck,recMsf2dgtZatk8gj
Ron Erd,Unlocking Growth,"Bloom Energy, Southern Company, NRG, AEP, founder of two startups","Leader/ Operator of businesses of 1,000 people.  Doubled two companies from $350 million to $700 million.  Mentor/Advisor NSF Icorp, Plug & Play and SOSV.","Leadership, Strategy, GTM, Revenue Growth, Customer Development",Advisor,USA/Canada,Berkeley Skydeck,recMvwTX3aEldFqt1
Michael Lasky,Altera Group,"Nokia, Great Northern Co (Denmark), Kromann and Munter (Copenhagen),  Merchant and Gould,  others","Electrical Engineer,  Registered US patent attorney, author of several books including The Good Brand. ","Brand creation,  brand positioning,  intellectual property strategy for entrepeneurs",Advisor,USA/Canada,Berkeley Skydeck,recN1i39LApMDqRPB
Ranjan Jagannathan,Synapse Inc,"Yahoo!, Duke University, Mygola Inc (Acquired)","I’m an accidental behavioral scientist who turned his passion for people gazing into a startup motto: “Productizing Psychological Insights”. I’m a founder of Synapse Inc, we build behavioral science based apps that help people lead happier, healthier & productive lives. Have the good fortune of working closely with Prof Dan Ariely at Duke University to build our flagship product Daywise, a mental health and productivity app in disguise of an intelligent notification assistant. Daywise was named ""The Best Productivity Apps of 2019"" by FastCompany & dubbed ""The Future of Android Notifications"" by ComputerWorld. Gave talks at Apple, Google, Superhuman and was part of a Stanford roundtable led by Tristan Harris (Of Social Dilemma fame) on building behavioral science products for good. My work has been covered by Wired, BBC, Harvard Center for Health and Happiness, FastCompany and Radio City to name a few. In a previous life, I ran innovation for Yahoo! India","Product management, Product Market Fit, Behavioral Economics, Product design, GTM",Advisor,USA/Canada,Berkeley Skydeck,recN4Yq5wp2F2yoGF
